"","name","alcohol_impaired_driving_deaths","high_school_graduation","unemployment","median_household_income","children_in_single_parent_households","social_associations","drug_overdose_deaths","disconnected_youth","homicides","suicides","population","population_density","below_18_years_of_age","65_and_older","non_hispanic_black","american_indian_or_alaska_native","hispanic","female"
"23","Dale County","0.2553191489","0.9429130435","0.0262207866","50567","0.2953108535","10.133354951","12.883714307","0.1080218778","6.3870679294","22.946170213",49544,88.2959303380461,"0.2322178266","0.181596157","0.20902632","0.0090626514","0.0733489424","0.5096076215"
"24","Dallas County","0.3035714286","0.7975593668","0.0504763983","35258","0.5789356491","13.822802307","9.0160756629","0.1746341463","38.578958887","14.061111827",36767,37.5657250737232,"0.2337966111","0.2044496423","0.703701689","0.0031278048","0.0121848397","0.5330323388"
"25","DeKalb County","0.2183908046","0.9325452352","0.0234380017","50037","0.2104403616","8.7727848718","24.187846537","0.1063986271","3.7998784039","23.535289401",71998,92.6523336213791,"0.236728798","0.1806161282","0.0146809634","0.0210422512","0.1599211089","0.5000555571"
"26","Elmore County","0.3333333333","0.8947419355","0.0219438196","71463","0.2500524769","10.077936039","11.081604141","0.1405453336","8.8006598769","18.334957201",89563,144.803056010736,"0.2143072474","0.1673458906","0.2182597725","0.0048234204","0.0317988455","0.5121534562"
"27","Escambia County","0.306122449","0.8899130435","0.0310589558","47792","0.393975759","13.896836426","44.702726866","0.2626995646","13.882194158","24.057439776",36666,38.7832604792238,"0.2260404735","0.1880761468","0.3042873507","0.0378006873","0.0265368461","0.4991545301"
"28","Etowah County","0.1609195402","0.9115891841","0.0302744818","55487","0.3312194238","14.927977356","22.092195932","0.0567704882","6.9572186709","19.791114854",103088,192.649877145376,"0.214137436","0.1992957473","0.151142713","0.0070522272","0.0477359149","0.5132217135"
"29","Fayette County","0.2727272727","0.975","0.0273099681","49205","0.2791036088","8.0505325737","41.075352735","","","22.374840716",16118,25.6785394694602,"0.2116887951","0.2202506514","0.1105596228","0.0047152252","0.0203499193","0.5076932622"
"30","Franklin County","0.1578947368","0.9544800885","0.0234809475","49611","0.3007832239","7.8093274607","18.970932316","","4.975934571","13.257813395",31932,50.3691968838397,"0.2453025179","0.1761242641","0.0383627709","0.0181635976","0.192189653","0.5000626331"
"31","Geneva County","0.275","0.9569607843","0.0239637881","51585","0.1957490573","8.9884273997","16.376302231","","5.3905740422","19.251357468",26783,46.6209143434232,"0.2187208304","0.2117014524","0.0892357092","0.0127319568","0.0489862973","0.5080088116"
"32","Greene County","0.380952381","0.825","0.0437956204","35449","0.6597877358","7.8647267007","","","","",7422,11.4709975017514,"0.2184047427","0.2510105093","0.7900835354","0.0051199138","0.0218270008","0.5354351927"
"33","Hale County","0.4782608696","0.925","0.0389196444","44702","0.4912891986","6.7778229633","","","17.368984783","13.771700212",14595,22.6633923530608,"0.238643371","0.2026036314","0.5690990065","0.0032887975","0.0161699212","0.5245632066"
"34","Henry County","0.3076923077","0.975","0.0270806749","56702","0.3081527936","13.17372129","","","8.2899492655","24.777505099",17655,31.4206334804177,"0.2028320589","0.2365902011","0.24038516","0.0056074766","0.0269612008","0.5139620504"
"35","Houston County","0.2317073171","0.8940762463","0.0259166667","56842","0.3313509966","11.074094065","12.503125781","0.0732724384","8.9525879083","18.229127306",108079,186.399049352837,"0.2256405037","0.1880938943","0.2729669964","0.0059215944","0.0389529881","0.5197031801"
"36","Jackson County","0.2153846154","0.9414104882","0.0251455683","51965","0.2704797048","8.3375968772","","0.1055579492","4.9425700815","18.793091991",52891,49.0633490732218,"0.2042691573","0.2103004292","0.0330680078","0.0152388875","0.034826341","0.5062108865"
"37","Jefferson County","0.1299790356","0.9078023046","0.0258189242","61996","0.3590291709","13.910934084","40.772353519","0.0735149057","24.717972693","14.063507121",665409,598.636875592344,"0.2250059738","0.1709835605","0.4335889656","0.0028929576","0.0440045145","0.5252408669"
"38","Lamar County","0.1739130435","0.925","0.0270789658","51523","0.1820885658","8.7661626123","","","","",13705,22.658649757391,"0.2176577891","0.2254651587","0.1009120759","0.0044509303","0.0211601605","0.5055089383"
"39","Lauderdale County","0.1447368421","0.9614634146","0.0263519653","59023","0.2610823892","13.929798071","12.493753123","0.0366248482","6.3078961013","13.252680816",95878,143.526755169063,"0.1919731325","0.2078057531","0.0998143474","0.0050167922","0.0318842696","0.5182106427"
"40","Lawrence County","0.2","0.92","0.0240890276","55516","0.1999442276","10.275007555","","","6.0544205919","25.023155921",33214,48.0885332039141,"0.216535196","0.1915156259","0.1005600048","0.0577166255","0.0284819654","0.5097850304"
"41","Lee County","0.2842105263","0.9054780999","0.0235446606","59637","0.2504728748","8.1820131138","10.420947284","","8.6947448962","12.754336641",180773,297.547071711491,"0.2059323018","0.1361099279","0.2272352619","0.0036012015","0.0404761773","0.5065524166"
"42","Limestone County","0.2820512821","0.8935123043","0.020957898","83159","0.1794715536","8.2777607262","4.8597161926","0.0883304778","6.582296256","14.696856169",110900,196.839421523792,"0.2173669973","0.1589630298","0.1401262399","0.008845807","0.0668440036","0.4966456267"
"43","Lowndes County","0.2368421053","0.825","0.0519110097","42268","0.5337505588","6.0210737582","","","47.009886322","",9777,13.6534053080744,"0.2175513961","0.2054822543","0.7230234223","0.0034775494","0.0180014319","0.5198936279"
"44","Macon County","0.2777777778","0.925","0.0380310354","36601","0.5399554282","6.8801270177","","0.0852017937","41.500153704","",18516,30.420665380433,"0.1675847915","0.2152192698","0.7876431195","0.0034024627","0.0254914668","0.5435299201"
"45","Madison County","0.3228699552","0.9250127421","0.0212918672","80426","0.2581081081","10.247690474","26.926391611","0.05240441","7.9297723885","15.113815813",403565,503.448497053344,"0.2120253243","0.1599890972","0.2471423439","0.0074164013","0.0559191208","0.5061737267"
"46","Marengo County","0.21875","0.8898722628","0.0341610826","45587","0.492183908","14.213518636","","","14.844063117","15.58681839",18745,19.1882808937962,"0.2225660176","0.2059749266","0.5106961856","0.0028274206","0.0328620966","0.5250466791"
"47","Marion County","0.3333333333","0.9028703704","0.0249130939","47742","0.1751990899","8.8901046297","11.279297976","0.168627451","","21.928969726",29156,39.2756342306321,"0.2096309507","0.2149128824","0.0397173824","0.0051790369","0.0292564138","0.5038757031"
"48","Marshall County","0.2093023256","0.9130317092","0.0205217315","53388","0.2653251275","9.0605529991","23.630784405","0.0761699628","5.0480230309","16.721138178",99423,175.707126993492,"0.2548806614","0.1739335969","0.0266336763","0.0119288293","0.1600736248","0.5047524215"
"49","Mobile County","0.3315508021","0.8775609168","0.0324420733","54315","0.3558456714","11.111837375","21.065392305","0.1012086723","17.086983447","14.603793743",411411,334.650795316011,"0.2308591652","0.1746404447","0.3640447144","0.0094212357","0.0318999735","0.5214128937"
"50","Monroe County","0.1923076923","0.925","0.0409589041","47498","0.3935052531","14.250814332","","","16.389300518","14.713611806",19404,18.9183899913626,"0.2092352092","0.2194908266","0.4115130901","0.013863121","0.0184498042","0.5212327355"
"51","Montgomery County","0.3179190751","0.8589390387","0.0307604751","56862","0.450009344","14.026047117","11.937060742","0.0819215595","24.11865875","10.933100076",226361,288.227724275035,"0.2370726406","0.1636677696","0.605280945","0.0031940131","0.0405458537","0.5296142003"
"52","Morgan County","0.2","0.9217862166","0.020914173","62260","0.2558297568","11.158909338","19.546843598","0.0733488218","10.717934916","22.284420585",124211,214.279222419226,"0.2281279436","0.1848387019","0.1306245019","0.0112550418","0.0914009226","0.5044400254"
"53","Perry County","0.625","0.975","0.0525462212","33585","0.5853794643","8.3782166367","","","","",8035,11.1648426890282,"0.2092097075","0.2148102054","0.6887367766","0.0037336652","0.0150591164","0.5319228376"
"54","Pickens County","0.2","0.975","0.0325478453","45440","0.4626129827","10.637732036","17.08700704","","","8.7041001293",18697,21.2126617848399,"0.1883189817","0.1964486281","0.3896347008","0.0029416484","0.0603840188","0.490987859"
"55","Pike County","0.2708333333","0.925","0.0273658083","45144","0.4493783304","9.3965020763","","0.0761138614","13.79262784","13.999495107",33014,49.123083310046,"0.1904949415","0.158750833","0.3778397044","0.0068152905","0.0248076574","0.521051675"
"56","Randolph County","0.53125","0.8984","0.0245563351","49433","0.2835530581","9.5502296603","","","","24.50710106",22479,38.7201595554362,"0.2088171182","0.2136660883","0.1827483429","0.0051603719","0.0310512033","0.5108768184"
"57","Russell County","0.1518987342","0.8894366197","0.0260249705","45074","0.3958745408","9.5364599298","31.442945346","0.1352961795","18.401385747","20.685503082",58555,91.323593742425,"0.2426265904","0.1552045086","0.4559473999","0.0067287166","0.0616685168","0.5237298267"
"58","St. Clair County","0.2021276596","0.8654696133","0.0219837491","70361","0.2031999217","8.1942467762","34.798662266","0.1012826183","5.1201556527","19.706841219",93932,148.727690253195,"0.2204467061","0.180694545","0.1070668143","0.0038857897","0.0265191841","0.5034386578"
"59","Shelby County","0.2123893805","0.9439991409","0.0183190632","98263","0.1686307575","9.6958158148","21.170153987","0.0409295593","3.7631735833","13.726621039",230115,292.975903148868,"0.221832562","0.1719401169","0.1430458684","0.0042543945","0.0612128718","0.5123785933"
"60","Sumter County","0.3888888889","0.925","0.0352403742","35152","0.5900998697","9.865175929","","","22.640569637","",11853,13.1142480673125,"0.1923563655","0.1977558424","0.6934953176","0.001940437","0.0152703957","0.5390196575"
"61","Talladega County","0.2203389831","0.9307534247","0.0308838898","55186","0.3633713869","11.775673421","12.423028983","0.1302752294","17.782677893","17.271923654",80704,109.530597586752,"0.2037817209","0.1949097938","0.3237138184","0.0039527161","0.0253766852","0.5115359833"
"62","Tallapoosa County","0.2571428571","0.925","0.0285340761","55270","0.4006444683","13.16334739","16.457789883","0.1197215777","8.0908425733","18.332004751",40977,57.1883053759353,"0.1962320326","0.2378651439","0.2623178856","0.0039046294","0.025477707","0.5115552627"
"63","Tuscaloosa County","0.3277777778","0.8972764645","0.0252919793","60875","0.3167180541","9.6032280943","19.625417233","0.0411851126","8.2094007816","12.512598531",236780,179.263654688291,"0.2005617028","0.1420432469","0.3249091984","0.0033659937","0.0414730974","0.5178900245"
"64","Walker County","0.1981132075","0.8852990264","0.027534418","51065","0.2827811804","13.885031936","36.034718668","0.0702341137","8.8985388599","23.247986201",64339,81.3357503760627,"0.2236124279","0.1994902003","0.0608961905","0.0056264474","0.0324220146","0.5124574519"
"65","Washington County","0.2941176471","0.96","0.036405179","53785","0.2635220126","17.825311943","","","13.167366","17.585569373",15122,13.9985417468542,"0.2141912445","0.2094960984","0.2274831372","0.0770400741","0.0183176828","0.5085967465"
"66","Wilcox County","0.3157894737","0.875","0.0779272152","33682","0.6645728643","6.701129619","","","30.907331757","",10059,11.3295198517955,"0.220797296","0.2236802863","0.6849587434","0.0024853365","0.0153096729","0.5340491102"
"67","Winston County","0.2142857143","0.9462802768","0.0244377373","51149","0.2353187043","8.8787417555","14.126488579","0.1428571429","7.8382664166","18.464844256",23755,38.7521670911999,"0.2017680488","0.222058514","0.010818775","0.008924437","0.0344769522","0.500947169"
"68","Aleutians East Borough","","","0.0197206245","85852","0.2613908873","0","","","","",3398,0.486454725668327,"0.0570924073","0.0994702766","0.1021188935","0.1391995291","0.173631548","0.3016480283"
"69","Aleutians West Census Area","","","0.0307471264","112218","0.1045296167","0","","","","",5122,1.16593893072628,"0.096056228","0.0755564233","0.0814135103","0.0900039047","0.1575556423","0.2912924639"
"70","Anchorage Borough","0.2929292929","0.8190399002","0.0333020576","99162","0.2241713426","11.765890025","30.467461215","0.1008203043","9.4330539097","21.44892579",287145,168.22742024356,"0.2351007331","0.1284890909","0.0512981246","0.0954152083","0.0994480141","0.487443626"
"71","Bethel Census Area","0.5","0.6067857143","0.0881736527","59011","0.2344988345","2.6944010346","18.057060311","0.1843434343","14.891916041","59.521339286",18257,0.44937942717629,"0.3512625294","0.0869255628","0.0096949115","0.8480035055","0.0224023662","0.4743386098"
"72","Bristol Bay Borough","1","","0.0426540284","96382","0.0613496933","0","","","","",865,1.79467821185877,"0.2138728324","0.1861271676","0.0069364162","0.310982659","0.1121387283","0.4658959538"
"73","Chugach Census Area","","","0.0286389135","91356","0.1938035597","0","","","","",6874,0.721312759023025,"0.2234506837","0.1651149258","0.0120744836","0.1281640966","0.0628455048","0.4611579866"
"74","Copper River Census Area","","","0.0925266904","63837","0.3395953757","0","","","","",2589,0.104851201376588,"0.2448821939","0.1946697567","0.0081112399","0.1873310158","0.0695249131","0.4592506759"
"75","Denali Borough","0.1666666667","0.825","0.0631895687","90897","0.0588235294","0","","","","",1585,0.125385167787285,"0.1760252366","0.138170347","0.0340694006","0.065615142","0.0529968454","0.4536277603"
"76","Dillingham Census Area","0.5","","0.0558558559","69716","0.3367486339","0","","","","42.249379721",4723,0.257608905224631,"0.3112428541","0.1206860047","0.0082574635","0.7255981368","0.0355706119","0.477239043"
"77","Fairbanks North Star Borough","0.3255813953","0.7217962466","0.0367742646","84166","0.1711365423","9.3103051479","18.049726998","0.0832295558","8.4424667723","29.403428404",95356,13.0006321030369,"0.2342275263","0.1256344645","0.0476949536","0.0833927598","0.0861193842","0.4602961534"
"78","Haines Borough","1","","0.0661625709","70610","0.0286624204","0","","","","",2056,0.877360458383173,"0.1707198444","0.2616731518","0.0068093385","0.1055447471","0.0418287938","0.4771400778"
"79","Hoonah-Angoon Census Area","","","0.0559552358","64181","0.1967741935","0","","","","",2287,0.348880258344487,"0.167031045","0.2632269348","0.0205509401","0.3817227809","0.0668998688","0.4547442064"
"80","Juneau Borough","0.625","0.8","0.0277793754","102097","0.1575102724","14.387139149","27.141007975","0.1685897436","5.3279580157","21.139749238",31685,11.7177156664104,"0.203597917","0.1606753985","0.0130661196","0.1250433959","0.0746094366","0.4877071169"
"81","Kenai Peninsula Borough","0.2894736842","0.79","0.0450546332","76254","0.1986054708","16.22969197","25.858822074","0.0989049806","4.1301833801","25.851520003",60690,3.78899897699026,"0.2199373867","0.1997857967","0.0077607514","0.083621684","0.0463997364","0.4757455924"
"82","Ketchikan Gateway Borough","0.3333333333","0.825","0.0378720896","82648","0.2068017863","14.541224371","26.568764794","","","23.578778171",13741,2.82915222569245,"0.2028236664","0.1820100429","0.0099701623","0.1431482425","0.058001601","0.4843897824"
"83","Kodiak Island Borough","0","0.825","0.04345646","83222","0.130185067","13.294752483","","","","22.9834981",12720,1.90149302900057,"0.2335691824","0.1396226415","0.0119496855","0.1241352201","0.0885220126","0.463836478"
"84","Kusilvak Census Area","1","0.7890625","0.1291038154","41824","0.2887405688","3.5885167464","","0.2909090909","26.007802341","118.51796258",8278,0.484743792229849,"0.4209954095","0.0684948055","0.0039864702","0.9211162116","0.0176371104","0.4642425707"
"85","Lake and Peninsula Borough","0","","0.0579937304","63038","0.2862745098","0","","","","",1381,0.057947703243415,"0.2932657495","0.1361332368","0.0108616944","0.6068066618","0.0311368573","0.4735698769"
"86","Matanuska-Susitna Borough","0.3260869565","0.84","0.0461134917","86313","0.1684422181","8.2214552879","24.603907465","0.1004291845","6.4101023213","26.746720619",113325,4.58670753848817,"0.2555746746","0.1381866314","0.0117449812","0.0701433929","0.0577454225","0.4766291639"
"87","Nome Census Area","0.7","0.7996753247","0.0686321895","64480","0.2923627685","4.0547389762","","0.1822580645","","83.056098427",9835,0.428177197318956,"0.3372648704","0.0874428063","0.0084392476","0.7624809354","0.0215556685","0.4736146416"
"88","North Slope Borough","0","0.775","0.0501852476","95795","0.3273092369","2.7342325921","","0.1903881701","","30.6993811",10805,0.121645567154695,"0.256362795","0.0809810273","0.0140675613","0.5226284128","0.041092087","0.3639055993"
"89","Northwest Arctic Borough","0","0.675","0.0897021887","69234","0.2840172786","6.6137566138","","0.2254697286","","77.35040859",7423,0.208141255321708,"0.3757241008","0.0893169877","0.011181463","0.8041223225","0.0286945979","0.4657146706"
"90","Petersburg Census Area","1","","0.0580912863","76641","0.1617161716","17.878426698","","","","",3360,1.15835876689113,"0.2071428571","0.2181547619","0.01875","0.1089285714","0.0735119048","0.4824404762"
"91","Prince of Wales-Hyder Census Area","0.2857142857","","0.0549572967","58381","0.2242765273","8.727526619","","","","",5650,1.07256910816324,"0.2152212389","0.2102654867","0.0063716814","0.4283185841","0.045840708","0.4500884956"
"92","Sitka Borough","0","0.9191176471","0.0275999117","90345","0.217699115","11.89484953","","","","",8382,2.92049860158432,"0.1942257218","0.1813409687","0.0099021713","0.1547363398","0.0775471248","0.4842519685"
"93","Skagway Municipality","","","0.067114094","73603","0.156097561","0","","","","",1081,2.49116841181748,"0.1452358927","0.1988899167","0.019426457","0.0619796485","0.0684551341","0.474560592"
"94","Southeast Fairbanks Census Area","0.6666666667","","0.0519680197","74732","0.1566068515","7.1736011478","","","","32.333136968",7021,0.282750738038269,"0.2583677539","0.1532545221","0.0182310212","0.1102407065","0.0726392252","0.4305654465"
"95","Wrangell City","","","0.0507900677","67761","0.2415254237","0","","","","",2070,0.809861180315903,"0.1874396135","0.2927536232","0.0057971014","0.1695652174","0.0400966184","0.4695652174"
"96","Yakutat Borough","","","0.0512820513","78552","0.0095238095","0","","","","",700,0.091824088170876,"0.1957142857","0.2042857143","0.0214285714","0.3528571429","0.07","0.4171428571"
"97","Yukon-Koyukuk Census Area","0.1666666667","0.6710866667","0.0787134998","47798","0.3803301238","0","","","29.464548791","41.585551934",5179,0.0355760287065045,"0.2745703804","0.1753234215","0.0079165862","0.6835296389","0.0278045955","0.4597412628"
"98","Apache County","0.238410596","0.7900752394","0.0767872432","40632","0.4069407857","3.0477119303","26.744991284","0.1890172048","17.290081324","43.662585889",65432,5.84302302146809,"0.2604841668","0.1671964788","0.0063118963","0.7335707299","0.0722582223","0.504753026"
"99","Cochise County","0.2479338843","0.8219635488","0.0441016817","55254","0.2780449021","7.9333597779","29.51858353","0.0674683742","3.1704872926","24.118603824",125663,20.2363853727376,"0.2078018192","0.2438904053","0.037433453","0.0187326421","0.3586576797","0.4913936481"
"100","Coconino County","0.2231759657","0.8044277329","0.0433349989","64016","0.2669022956","9.6517111105","24.825467682","0.0464754281","6.3339244996","29.407212115",144060,7.7383573635942,"0.1933777593","0.1459947244","0.0122310149","0.2710606692","0.1504789671","0.5040191587"
"101","Gila County","0.1525423729","0.7386152416","0.0416952474","51928","0.29320031","8.9570620836","33.351862146","0.1447299423","8.244351954","46.232306113",53922,11.3339185062346,"0.1893104855","0.3074997218","0.0064352212","0.1779793034","0.1930566374","0.5014279886"
"102","Graham County","0.2363636364","0.8808488613","0.0359337181","63797","0.2462620061","4.0973111396","29.035508719","0.1240242845","3.7327221623","15.889784487",38779,8.39031451356281,"0.2682895382","0.1453363934","0.0130482993","0.1302251218","0.3352071998","0.4720338327"
"103","Greenlee County","0.4","0.9536764706","0.0285354595","76338","0.2278872151","4.253509145","","","","28.442895052",9302,5.04763917886743,"0.2683293915","0.1452375833","0.0161255644","0.0476241668","0.4878520748","0.4784992475"
"104","La Paz County","0.1444444444","0.8332191781","0.0470469347","53925","0.353028065","6.0945880059","33.900603431","","13.459522258","34.851361215",16506,3.67079048648304,"0.1577002302","0.4171210469","0.009996365","0.1752090149","0.2763843451","0.4887919544"
"105","Maricopa County","0.216498994","0.7607069058","0.0333976007","83668","0.2419175366","5.3418280705","33.448655981","0.078539549","6.1974818803","15.660618637",4551524,494.622504789109,"0.2239329069","0.1620402309","0.0593060698","0.0290772937","0.3209191031","0.5015711221"
"106","Mohave County","0.2142857143","0.7581637294","0.0452516889","54842","0.3078140008","5.3286294398","26.117367431","0.1643869684","5.3602385645","30.704997896",220816,16.5627108060069,"0.1615100355","0.3236767263","0.0118243243","0.0301291573","0.1810059054","0.4933157018"
"107","Navajo County","0.1886792453","0.7683475177","0.0518363435","49948","0.339100596","6.4726714564","35.025952419","0.1845798543","13.656102912","43.307127295",108650,10.9201535344016,"0.2515968707","0.2001932812","0.0083663139","0.4349102623","0.1226507133","0.4976898297"
"108","Pima County","0.2503536068","0.725263134","0.0379725384","64007","0.2719443398","6.1690255981","37.589179379","0.0747828211","6.7323744574","20.392166201",1057597,115.097782433043,"0.1960869783","0.2121706094","0.0360921977","0.0435439964","0.3847921278","0.5051527189"
"109","Pinal County","0.1708074534","0.7964598961","0.0386534292","76232","0.2153135175","3.3588621688","23.471583593","0.103761223","5.6207487031","16.916319048",464154,86.4882606197021,"0.2170680421","0.2111756012","0.0528359122","0.062143168","0.3172955528","0.4816569501"
"110","Santa Cruz County","0.1764705882","0.8869072165","0.0753428284","53467","0.2496625109","4.3856901197","29.039089447","","4.5961796555","8.8511492963",48759,39.4412925530452,"0.2536967534","0.1951434607","0.0054554031","0.0151561763","0.8248118296","0.5104288439"
"111","Yavapai County","0.1636363636","0.7917825045","0.0346363003","64187","0.2205568024","7.7192026518","35.67556419","0.0683160252","2.9528358297","30.650140786",246191,30.3081416156577,"0.1530315893","0.3416574936","0.0081278357","0.0218488897","0.157138157","0.5064360598"
"112","Yuma County","0.1608391608","0.8339617293","0.125494809","54209","0.30335042","4.4446591623","25.52454506","0.1070120133","3.9504988867","14.340691893",207842,37.694608879721,"0.2495597617","0.2045881006","0.0171187729","0.0243550389","0.6612571088","0.4889146563"
"113","Arkansas County","0.3529411765","0.8833333333","0.0327482877","52145","0.2090628218","14.950364789","19.383225756","","12.099311146","15.633396523",16512,16.6428084828812,"0.2302567829","0.2062742248","0.2434593023","0.0046027132","0.0405159884","0.5112645349"
"114","Ashley County","0.3636363636","0.925","0.0550228647","47253","0.2929623568","15.529613366","19.074041963","","11.483610734","15.514321938",18354,19.8316215753339,"0.2234390324","0.2186444372","0.2339544513","0.008989866","0.064781519","0.5125858124"
"115","Baxter County","0.3571428571","0.9055012225","0.0357832489","48573","0.1882577306","10.440394837","15.833056255","0.139905549","6.8632531133","31.844096921",42435,76.6069962334475,"0.177895605","0.308141864","0.0047602215","0.0088370449","0.0285141982","0.5117238129"
"116","Benton County","0.3333333333","0.8999133261","0.0238335344","86374","0.1938489961","8.3420726475","12.998965886","0.072202629","2.515093179","16.331986485",302863,357.262303718978,"0.2519026755","0.139204855","0.0198307486","0.0193453806","0.1796686951","0.4970663303"
"117","Boone County","0.2","0.9368329466","0.0288122798","53025","0.1793184489","13.217023526","16.830990282","0.1234567901","6.1004903269","22.46935479",38284,64.9186237423863,"0.2256295058","0.2099832828","0.0053024762","0.0097690941","0.0326507157","0.5057204054"
"118","Bradley County","0.2631578947","0.8963607595","0.0498411923","44982","0.3565285379","14.411990776","","","","23.62660494",10135,15.6123135772814,"0.2411445486","0.1975333004","0.2697582634","0.0174642329","0.1685249137","0.5158362111"
